"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z080","2019-07-04 00:00:00","298.000","0.000","0.200","25.400","0.940","977.200","-99.000","1.000","-99.000","-99.000","-99.000","34.800","","23.700",""
"C0G640","2019-07-04 00:00:00","17.000","0.000","0.100","26.200","0.830","1009.900","-99.000","22.000","-99.000","-99.000","-99.000","28.600","","25.000",""
"C0X200","2019-07-04 00:00:00","61.000","90.000","1.100","24.200","0.990","1003.800","-99.000","95.000","-99.000","-99.000","-99.000","30.500","","23.800",""
"C0U900","2019-07-04 00:00:00","63.000","301.000","0.400","26.900","0.990","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","26.000",""
"C0Z230","2019-07-04 00:00:00","31.000","348.000","2.400","27.700","0.870","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","27.100",""
"C0F9O0","2019-07-04 00:00:00","175.000","0.000","0.100","27.700","0.820","990.300","-99.000","2.000","-99.000","-99.000","-99.000","31.300","","25.800",""
"C0C540","2019-07-04 00:00:00","46.000","227.000","1.000","-99.000","0.840","1004.000","-99.000","0.500","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0G770","2019-07-04 00:00:00","15.000","135.000","0.800","26.600","0.890","1006.700","-99.000","22.500","-99.000","-99.000","-99.000","28.800","","25.200",""
"C0V670","2019-07-04 00:00:00","20.000","94.000","1.800","27.300","0.790","1008.500","-99.000","88.000","-99.000","-99.000","-99.000","31.800","","24.800",""
"C0A870","2019-07-04 00:00:00","685.000","262.000","2.700","23.300","0.890","932.700","-99.000","18.500","-99.000","-99.000","-99.000","27.100","","21.700",""
"C0R220","2019-07-04 00:00:00","23.000","77.000","0.400","25.500","1.000","1008.500","-99.000","97.000","-99.000","-99.000","-99.000","32.000","","24.100",""
"C0Z220","2019-07-04 00:00:00","589.000","244.000","0.500","24.300","0.990","946.300","-99.000","0.000","-99.000","-99.000","-99.000","28.200","","23.200",""
"C0D560","2019-07-04 00:00:00","147.000","75.000","0.800","27.200","0.840","993.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","25.300",""
"C0I380","2019-07-04 00:00:00","258.000","106.000","2.500","25.600","0.980","980.700","-99.000","2.500","-99.000","-99.000","-99.000","30.500","","24.500",""
"C0Z020","2019-07-04 00:00:00","211.000","6.000","0.500","25.000","0.990","985.900","-99.000","10.500","-99.000","-99.000","-99.000","30.800","","23.800",""
"C0Z190","2019-07-04 00:00:00","62.000","314.000","0.600","27.100","0.990","1002.300","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","26.600",""
"C0C710","2019-07-04 00:00:00","143.000","0.000","0.200","25.600","0.950","993.300","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","24.600",""
"C0D360","2019-07-04 00:00:00","523.000","0.000","0.000","24.300","0.960","950.700","-99.000","0.000","-99.000","-99.000","-99.000","28.700","","22.800",""
"C0C680","2019-07-04 00:00:00","228.000","148.000","0.500","26.600","0.860","982.100","-99.000","0.500","-99.000","-99.000","-99.000","31.400","","24.100",""
"C0X140","2019-07-04 00:00:00","17.000","137.000","1.000","26.200","0.890","1007.900","-99.000","139.500","-99.000","-99.000","-99.000","27.800","","24.900",""
"C0V710","2019-07-04 00:00:00","34.000","78.000","1.300","25.900","1.000","1007.000","-99.000","74.500","-99.000","-99.000","-99.000","32.100","","24.500",""
"C0G840","2019-07-04 00:00:00","32.000","0.000","0.000","25.800","0.920","1004.200","-99.000","12.000","-99.000","-99.000","-99.000","28.600","","24.800",""
"C0S890","2019-07-04 00:00:00","238.000","9.000","0.500","25.500","0.930","985.500","-99.000","17.000","-99.000","-99.000","-99.000","31.100","","23.800",""
"C0T820","2019-07-04 00:00:00","550.000","0.000","0.000","23.900","0.930","952.500","-99.000","0.500","-99.000","-99.000","-99.000","30.300","","23.500",""
"C0E540","2019-07-04 00:00:00","32.000","214.000","1.800","29.200","0.630","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.800",""
"C0W170","2019-07-04 00:00:00","42.000","161.000","2.500","26.200","0.930","1002.700","-99.000","1.000","8.600","198.000","","28.100","","26.200",""
"C0Z150","2019-07-04 00:00:00","27.000","297.000","1.600","28.500","0.840","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","26.100",""
"C0S840","2019-07-04 00:00:00","22.000","256.000","1.200","25.300","0.990","1009.500","-99.000","23.500","-99.000","-99.000","-99.000","31.700","","24.800",""
"C0H9A0","2019-07-04 00:00:00","1595.000","191.000","2.600","19.300","0.760","846.900","-99.000","18.500","-99.000","-99.000","-99.000","23.600","","17.200",""
"C0Z300","2019-07-04 00:00:00","182.000","0.000","0.000","25.700","1.000","990.900","-99.000","7.000","-99.000","-99.000","-99.000","31.600","","24.400",""
"C0G730","2019-07-04 00:00:00","27.000","159.000","1.100","26.000","0.950","1007.800","-99.000","32.000","-99.000","-99.000","-99.000","27.900","","24.200",""
"C0V730","2019-07-04 00:00:00","33.000","48.000","1.000","25.700","0.980","1007.800","-99.000","65.000","-99.000","-99.000","-99.000","32.100","","25.100",""
"C0S900","2019-07-04 00:00:00","27.000","216.000","2.900","29.100","0.840","1008.600","-99.000","8.000","-99.000","-99.000","-99.000","30.900","","26.000",""
"C0C480","2019-07-04 00:00:00","105.000","0.000","0.000","27.900","0.810","997.300","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.500",""
"C0V720","2019-07-04 00:00:00","15.000","45.000","1.000","26.100","0.960","1009.200","-99.000","48.500","-99.000","-99.000","-99.000","32.500","","25.500",""
"C0UA60","2019-07-04 00:00:00","566.000","200.000","1.000","24.100","0.980","947.600","-99.000","0.000","-99.000","-99.000","-99.000","29.500","","23.000",""
"C0A980","2019-07-04 00:00:00","11.000","0.000","0.000","27.200","0.880","1008.500","-99.000","25.000","-99.000","-99.000","-99.000","33.800","","25.500",""
"C0C670","2019-07-04 00:00:00","250.000","0.000","0.000","26.500","0.840","981.600","-99.000","0.500","-99.000","-99.000","-99.000","31.100","","24.100",""
"C0K550","2019-07-04 00:00:00","15.000","176.000","0.700","25.600","0.880","1008.700","-99.000","85.000","-99.000","-99.000","-99.000","27.600","","23.900",""
"C0R350","2019-07-04 00:00:00","35.000","307.000","1.100","26.200","-99.000","1006.000","-99.000","18.000","-99.000","-99.000","-99.000","31.400","","25.000",""
"C0T9F0","2019-07-04 00:00:00","251.000","0.000","0.200","25.700","0.930","982.400","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","24.100",""
"C0D390","2019-07-04 00:00:00","146.000","0.000","0.000","25.400","0.960","991.400","-99.000","1.000","-99.000","-99.000","-99.000","31.500","","24.400",""
"C0E430","2019-07-04 00:00:00","258.000","0.000","0.000","24.400","0.930","983.500","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","23.700",""
"C0O990","2019-07-04 00:00:00","18.000","129.000","1.400","24.900","0.990","1008.300","-99.000","94.000","-99.000","-99.000","-99.000","30.300","","23.700",""
"CM0010","2019-07-04 00:00:00","68.000","54.000","0.400","26.700","-99.000","1002.100","-99.000","9.000","-99.000","-99.000","-99.000","31.500","","25.300",""
"C0K500","2019-07-04 00:00:00","12.000","189.000","0.900","26.000","0.870","1007.700","-99.000","54.500","-99.000","-99.000","-99.000","28.200","","24.300",""
"C0X260","2019-07-04 00:00:00","39.000","188.000","2.000","26.400","0.810","1006.300","-99.000","52.000","-99.000","-99.000","-99.000","28.700","","24.000",""
"C0ACA0","2019-07-04 00:00:00","25.000","0.000","0.000","27.900","0.840","1005.500","-99.000","22.500","-99.000","-99.000","-99.000","32.200","","25.100",""
